"Candidate ID","Assigned Time","Comment","Rating for Cultural","Rating for Text","Is Duplicate","Duplicate of Portal","Rating for Location","Suggested Location","Rating for Quality","Rating for Safety","One Star Submission","Time","Rating for Uniqueness","What is it?"
"58b3ea276dc0816a7fe45850099ac309","2017-10-05 11:54:26 GMT","","4","5","false","","5","","5","5","false","2017-10-05 11:55:09 GMT","5",""
"e700db998df446946303b9173ef5e76a","2017-10-05 11:55:15 GMT","","1","3","false","","5","31.69509630695794, 119.9422688048935","5","3","false","2017-10-05 11:56:05 GMT","2",""
"1b947fa4a2b46892055f5ac4b541c401","2017-10-05 11:56:15 GMT","","","","true","cbfffa0725c64938a4819ae66fdfc701.16","","","","","false","2017-10-05 11:57:08 GMT","",""
"67bf8275cbe6ff4575d3b77c10eae6c5","2017-10-05 13:34:43 GMT","","1","5","false","","5","29.991491676939752, 120.57160430059434","2","1","false","2017-10-05 13:35:29 GMT","1",""
"e3f3119742aaf0ac7c71fefd0477a759","2017-10-05 13:35:34 GMT","","5","5","false","","5","","5","5","false","2017-10-05 13:36:04 GMT","5",""
"dafd5a6de71b07462ae8f950677b07cd","2017-10-05 13:36:11 GMT","","3","5","false","","3","","5","3","false","2017-10-05 13:36:42 GMT","4",""
"fbc356ebcc609bbda897db278dedac2c","2017-10-05 13:37:13 GMT","","1","5","false","","1","","4","1","false","2017-10-05 13:38:03 GMT","3",""
"cac88772644464534305dc6d03f85df3","2017-10-05 13:38:10 GMT","","","","false","","","","","","true","2017-10-05 13:38:18 GMT","",""
"9937aa6418a2daff37461025c0e2ca39","2017-10-06 01:41:03 GMT","","1","5","false","","5","","4","5","false","2017-10-06 01:41:42 GMT","3",""
"f82173ea402d9ef34a1564785927c955","2017-10-06 01:41:55 GMT","","3","5","false","","2","","2","5","false","2017-10-06 01:43:04 GMT","5",""
"22b49040366a04643bc3ac28edac66f8","2017-10-06 01:43:46 GMT","","1","5","false","","5","","4","5","false","2017-10-06 01:45:06 GMT","1",""
"be7ffaff9b0acdc3137770a008f7223a","2017-10-06 01:45:18 GMT","","2","5","false","","4","","4","5","false","2017-10-06 01:46:10 GMT","3",""
"37031bd6d77e84c2116e16344b2477ae","2017-10-06 01:46:16 GMT","","4","5","false","","5","29.808345172627938, 121.5562097202378","5","5","false","2017-10-06 01:46:51 GMT","4",""
"a5fc3feaeca6a3c74b71d8d2446a8b54","2017-10-06 01:46:59 GMT","","5","5","false","","5","","5","5","false","2017-10-06 01:47:39 GMT","5",""
"c18b575358c05a8ae6c00b7b1a2d61b0","2017-10-06 02:45:47 GMT","","3","5","false","","3","","5","1","false","2017-10-06 02:46:17 GMT","5",""
"2a20ae76a5dc66ac166fa12d76ede320","2017-10-06 02:46:42 GMT","","1","5","false","","5","30.311221533757195, 120.16891995700826","4","5","false","2017-10-06 02:47:31 GMT","3",""
"227f70e4c12f121ddce8e370db3f9c29","2017-10-06 03:51:40 GMT","","2","5","false","","5","28.99836416741676, 119.04409457175825","4","5","false","2017-10-06 03:52:32 GMT","3",""
"a3626c8dbea2a7ef461b06c0bb9a6d83","2017-10-06 03:52:41 GMT","","1","5","false","","3","","4","4","false","2017-10-06 03:54:20 GMT","1",""
"66af5cde279e883b21b626c37901c40f","2017-10-06 03:54:24 GMT","","","","false","","","","","","true","2017-10-06 03:54:37 GMT","",""
"eba435ce983ea62bf16ca79ad9c1e06c","2017-10-06 05:11:54 GMT","","4","5","false","","4","","5","5","false","2017-10-06 05:12:29 GMT","5",""
"c2edff9e2b875edf826e57db078ac0de","2017-10-06 05:13:09 GMT","","3","5","false","","5","","5","5","false","2017-10-06 05:13:36 GMT","5",""
"aceff32d3e961adcaa8e99358a850ac2","2017-10-06 05:13:42 GMT","","","","false","","","","","","true","2017-10-06 05:13:52 GMT","",""
"301f52e07cf52d879ae7bfa7e6f06641","2017-10-06 05:14:04 GMT","","4","5","false","","5","","5","5","false","2017-10-06 05:14:53 GMT","5",""
"27d6e6a2b2b42cc406303774f8677ed3","2017-10-06 05:15:05 GMT","","2","5","false","","1","","5","2","false","2017-10-06 05:16:19 GMT","3",""
"ab606f08a120c48bd005d4364c0a3563","2017-10-06 05:16:24 GMT","","1","4","false","","5","","3","5","false","2017-10-06 05:17:08 GMT","1",""
